r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.167669,  -0.192819,   0.023279,   0.241750,   0.082702,   0.063134,   0.877531,   0.190074,  
Y Velocity[A/fs],   0.098915,  -0.078835,  -0.223193,  -0.031017,   0.220863,  -0.876899,  -0.099955,   0.855237, 
Z Velocity[A/fs],   0.002372,   0.008163,  -0.018178,   0.005214,   0.010940,  -0.016602,  -0.043220,   0.012836,  
Speed[A/fs],   0.194686,   0.208472,   0.225139,   0.243787,   0.236093,   0.879325,   0.884262,   0.876198,  
 
r_seed=25,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.163165,  -0.201119,   0.029516,   0.236696,   0.075618,   0.034827,   0.876432,   0.108226,  
Y Velocity[A/fs],   0.085064,  -0.090305,  -0.223013,  -0.021554,   0.229966,  -0.877118,  -0.031817,   0.871202, 
Z Velocity[A/fs],  -0.009221,   0.013127,   0.001909,  -0.011106,   0.011490,   0.018687,   0.004117,   0.016577,  
Speed[A/fs],   0.184238,   0.220853,   0.224966,   0.237935,   0.242352,   0.878008,   0.877019,   0.878055,  
 
r_seed=26,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
